society,price,place,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Direction,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
on request,0.9,new town,6428.0,1400.0,Super Built up area 1400(130.06 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1400.0,,,0,0,0,0,1,0,56.0
nakshtra apartment,0.18,baguiati,2571.0,700.0,Super Built up area 700(65.03 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2.0,2,1,2,East,Relatively New,East,700.0,,500.0,0,0,0,0,0,0,19.0
on request,0.55,new town,6875.0,800.0,Super Built up area 800(74.32 sq.m.),2.0,2,1,3,West,Relatively New,East,800.0,,,0,0,0,0,1,0,19.0
on request,0.58,new town,5888.0,985.0,Super Built up area 985(91.51 sq.m.),2.0,2,1,3,East,Relatively New,East,985.0,,,0,0,0,0,1,0,19.0
on request,0.78,new town,6500.0,1200.0,Super Built up area 1200(111.48 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1200.0,,,0,0,0,0,1,0,19.0
on request,0.75,new town,6000.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1250.0,,,0,0,0,0,1,0,19.0
on request,0.83,new town,5669.0,1464.0,Super Built up area 1464(136.01 sq.m.),3.0,2,2,2,North,Relatively New,East,1464.0,,,0,0,0,0,1,0,19.0
on request,0.85,new town,5806.0,1464.0,Super Built up area 1464(136.01 sq.m.),3.0,2,2,1,North-West,Relatively New,East,1464.0,,,0,0,0,0,1,0,19.0
on request,0.44,new town,4489.0,980.0,Super Built up area 980(91.04 sq.m.),2.0,2,1,3,North-East,Relatively New,East,980.0,,,0,0,0,0,1,0,19.0
on request,0.64,new town,5120.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1250.0,,,0,0,0,0,1,0,19.0
on request,0.45,new town,4591.0,980.0,Super Built up area 980(91.04 sq.m.),2.0,2,1,3,South-West,Relatively New,East,980.0,,,0,0,0,0,1,0,19.0
on request,0.63,new town,5040.0,1250.0,Super Built up area 1250(116.13 sq.m.),3.0,2,1,3,South-West,Relatively New,East,1250.0,,,0,0,0,0,1,0,70.0
on request new,0.47,nayabad,4000.0,1175.0,Super Built up area 1170(108.7 sq.m.),3.0,2,1,3,South-East,Relatively New,South,1170.0,,,0,0,0,0,1,0,58.0
on request,0.4,nayabad,4000.0,1000.0,Super Built up area 1006(93.46 sq.m.),2.0,2,1,1,South-East,New Property,South,1006.0,,,0,0,0,0,1,0,63.0
on request,0.31,new garia,4000.0,775.0,Super Built up area 774(71.91 sq.m.),2.0,2,1,2,South,New Property,South,774.0,,,0,0,0,0,0,0,93.0
mini complex,0.33,nayabad,4000.0,825.0,Super Built up area 828(76.92 sq.m.),2.0,2,1,2,North-East,Relatively New,South,828.0,,,0,0,0,0,1,0,19.0
on request,0.76,new garia,5241.0,1450.0,Super Built up area 1450(134.71 sq.m.),3.0,2,1,1,South,Moderately Old,South,1450.0,,,0,0,0,0,0,2,0.0
on request,0.47,kalikapur,4500.0,1044.0,Super Built up area 1050(97.55 sq.m.),3.0,2,2,1,South-East,Relatively New,South,1050.0,,,0,0,0,0,0,0,146.0
bengal abasan urban sabujayan,0.99,mukundapur,5500.0,1800.0,Super Built up area 1794(166.67 sq.m.),4.0,3,3,1,North-East,Relatively New,South,1794.0,,,0,0,0,0,1,0,145.0
bengal abasan urban sabujayan,0.78,mukundapur,5500.0,1418.0,Super Built up area 1308(121.52 sq.m.),3.0,2,1,2,North-East,New Property,South,1308.0,,,0,0,0,0,1,0,137.0
bengal abasan urban sabujayan,0.69,mukundapur,5500.0,1255.0,Super Built up area 1256(116.69 sq.m.),3.0,2,1,4,East,Relatively New,South,1256.0,,,0,0,0,0,1,0,126.0
tirupati paradise,0.45,narendrapur,3859.0,1166.0,Super Built up area 1166(108.32 sq.m.),3.0,2,1,4,South,Relatively New,South,1166.0,,,0,0,0,0,1,0,117.0
tirupati paradise,0.45,narendrapur,3768.0,1194.0,Super Built up area 1194(110.93 sq.m.),3.0,2,1,3,South-East,Relatively New,South,1194.0,,,0,0,0,0,1,0,78.0
residential mini complex,0.39,new garia,4000.0,975.0,Super Built up area 968(89.93 sq.m.),2.0,2,1,3,North-East,Relatively New,South,968.0,,,0,0,0,0,1,0,80.0
residential mini complex,0.51,nayabad,4018.0,1269.0,Super Built up area 1277(118.64 sq.m.),3.0,2,1,2,East,Relatively New,South,1277.0,,,0,0,0,0,1,0,71.0
ganguly groups,0.6,garia,6451.0,930.0,Super Built up area 930(86.4 sq.m.),2.0,2,1,1,South-East,Relatively New,South,930.0,,,0,0,0,0,1,0,71.0
on request,0.65,garia,5175.0,1256.0,Super Built up area 1256(116.69 sq.m.),3.0,2,1,1,North-East,Relatively New,South,1256.0,,,0,0,0,0,1,0,56.0
on request,0.47,raipur,4700.0,1000.0,Super Built up area 1000(92.9 sq.m.),3.0,2,1,3,South-West,Moderately Old,West,1000.0,,,0,0,0,0,0,0,71.0
on request,0.78,naktala,6000.0,1300.0,Super Built up area 1300(120.77 sq.m.),3.0,2,1,2,South-West,New Property,South,1300.0,,,0,0,0,0,1,0,63.0
on request,0.5,raipur,5000.0,1000.0,Super Built up area 1000(92.9 sq.m.),2.0,2,1,2,South-West,Relatively New,West,1000.0,,,0,0,0,0,0,0,56.0
on request,0.65,ramgarh,4049.0,1605.0,Super Built up area 1605(149.11 sq.m.),3.0,3,2,3,South-West,Old Property,West,1605.0,,,0,0,0,0,1,0,63.0
on request new,0.47,new garia,4000.0,1175.0,Super Built up area 1170(108.7 sq.m.),3.0,2,1,3,South-East,Relatively New,South,1170.0,,,0,0,0,0,1,0,71.0
residential complex,0.51,nayabad,4000.0,1275.0,Super Built up area 1283(119.19 sq.m.),3.0,2,1,1,South,Relatively New,South,1283.0,,,0,0,0,0,1,0,63.0
on request new,0.46,nayabad,4200.0,1095.0,Super Built up area 1095(101.73 sq.m.),3.0,2,1,2,South-West,Relatively New,South,1095.0,,,0,0,0,0,1,0,57.0
on request new,0.28,new garia,4000.0,700.0,Super Built up area 690(64.1 sq.m.),2.0,1,0,3,South-West,Relatively New,South,690.0,,,0,0,0,0,1,0,58.0
on request new,0.31,nayabad,4000.0,775.0,Super Built up area 774(71.91 sq.m.),2.0,2,1,2,South-West,New Property,South,774.0,,,0,0,0,0,1,0,63.0
on request new,0.4,new garia,4000.0,1000.0,Super Built up area 1006(93.46 sq.m.),2.0,2,1,1,South-East,New Property,South,1006.0,,,0,0,0,0,1,0,63.0
on request new,0.4,nayabad,4200.0,952.0,Super Built up area 950(88.26 sq.m.),3.0,2,1,3,East,Relatively New,South,950.0,,,0,0,0,0,1,0,63.0
on request new,0.58,nayabad,4200.0,1381.0,Super Built up area 1386(128.76 sq.m.),3.0,2,1,2,South-East,Relatively New,South,1386.0,,,0,0,0,0,1,0,71.0
residential mini complex,0.51,mukundapur,4951.0,1030.0,Super Built up area 1030(95.69 sq.m.),3.0,2,1,1,South-West,Relatively New,South,1030.0,,,0,0,0,0,1,2,71.0
residential 2 block complex,0.48,mukundapur,4363.0,1100.0,Super Built up area 1100(102.19 sq.m.),2.0,2,1,4,North-West,Moderately Old,South,1100.0,,,0,0,0,0,1,0,78.0
residential mini complex,0.46,new garia,4000.0,1150.0,Super Built up area 1162(107.95 sq.m.),3.0,2,1,2,North-East,Relatively New,South,1162.0,,,0,0,0,0,1,0,86.0
residential mini complex,0.25,nayabad,4000.0,625.0,Super Built up area 636(59.09 sq.m.),2.0,2,0,2,South,Relatively New,South,636.0,,,0,0,0,0,1,0,79.0
residential mini complex,0.33,new garia,4000.0,825.0,Super Built up area 828(76.92 sq.m.),2.0,2,1,2,North-West,Relatively New,South,828.0,,,0,0,0,0,1,0,54.0
starlite sunny seasons,0.55,kamalgazi,4471.0,1230.0,Super Built up area 1230(114.27 sq.m.),3.0,2,1,3,South-East,Old Property,South,1230.0,,,0,0,0,0,0,0,91.0
starlite sunny seasons,0.65,kamalgazi,4545.0,1430.0,Super Built up area 1430(132.85 sq.m.),3.0,2,2,2,,Old Property,South,1430.0,,,0,0,0,1,0,0,0.0
on request,4.0,ballygunge,14239.0,2809.0,Super Built up area 2809(260.96 sq.m.),4.0,4,2,6,North-West,Relatively New,South,2809.0,,,0,1,0,0,0,0,34.0
propterior,2.2,sarat bose road,12571.0,1750.0,Super Built up area 1750(162.58 sq.m.),3.0,3,1,6,North-East,Relatively New,South,1750.0,,,0,0,0,0,0,0,54.0
"propterior, dover  terrace",2.31,sarat bose road,11797.0,1958.0,Super Built up area 1958(181.9 sq.m.),3.0,3,1,4,South,Relatively New,South,1958.0,,,0,1,0,0,0,0,54.0
sureka sunrise heights,1.9,beleghata,13167.0,1443.0,Super Built up area 1899(176.42 sq.m.)Built Up area: 1443 sq.ft. (134.06 sq.m.),3.0,3,0,1,North-East,Relatively New,East,1899.0,1443.0,,0,0,0,0,0,1,55.0
individual apartment,0.46,new town,5100.0,902.0,Super Built up area 896(83.24 sq.m.),2.0,2,1,1,East,Relatively New,East,896.0,,,0,1,0,0,0,0,58.0
residential apartment,0.66,new town,5000.0,1320.0,Super Built up area 1314(122.07 sq.m.),3.0,2,2,1,South-West,Relatively New,East,1314.0,,,0,1,0,0,1,0,54.0
rdc tower,0.35,ch,4500.0,778.0,Super Built up area 784(72.84 sq.m.),2.0,2,1,1,East,New Property,East,784.0,,,0,0,0,0,1,0,47.0
rdc tower,0.53,ch,4499.0,1178.0,Super Built up area 1178(109.44 sq.m.),3.0,2,2,2,South-West,New Property,East,1178.0,,,0,0,1,0,0,0,39.0
on request,0.32,bijoygarh,4444.0,720.0,Super Built up area 720(66.89 sq.m.),2.0,2,1,1,South,Relatively New,South,720.0,,,0,0,0,0,0,0,26.0
swagatam,0.3,rajarhat,3500.0,857.0,Super Built up area 866(80.45 sq.m.),2.0,2,1,2,South-East,Relatively New,East,866.0,,,0,0,0,0,1,0,46.0
swgatam,0.3,rajarhat,3500.0,857.0,Super Built up area 845(78.5 sq.m.),2.0,2,2,3,East,Relatively New,East,845.0,,,0,0,0,0,1,0,45.0
bijoy apartment,0.28,rajarhat,3500.0,800.0,Super Built up area 792(73.58 sq.m.),2.0,2,1,4,North-West,Relatively New,East,792.0,,,0,0,0,0,0,0,24.0
plazo,0.38,rajarhat,3500.0,1086.0,Super Built up area 1078(100.15 sq.m.),3.0,2,1,3,South,Relatively New,East,1078.0,,,0,0,0,0,1,0,45.0
bijoy apartment,0.31,rajarhat,3500.0,886.0,Super Built up area 876(81.38 sq.m.),2.0,2,1,2,East,Relatively New,East,876.0,,,0,0,0,0,0,0,38.0
bijoy apartment,0.31,rajarhat,3500.0,886.0,Super Built up area 885(82.22 sq.m.),2.0,2,1,4,South-East,Relatively New,East,885.0,,,0,0,0,0,1,0,38.0
bijoy apartment,0.41,rajarhat,3500.0,1171.0,Super Built up area 1181(109.72 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1181.0,,,0,0,0,0,1,0,51.0
bijoy apartment,0.37,rajarhat,3500.0,1057.0,Super Built up area 1065(98.94 sq.m.),3.0,2,1,3,North-West,Relatively New,East,1065.0,,,0,0,0,0,0,0,24.0
plazo,0.37,rajarhat,3496.0,1058.0,Super Built up area 1045(97.08 sq.m.),3.0,2,1,2,South,Relatively New,East,1045.0,,,0,0,0,0,1,0,54.0
urban heights,1.3,kasba,8381.0,1551.0,Super Built up area 1551(144.09 sq.m.),3.0,2,2,3,North-East,Relatively New,South,1551.0,,,0,0,0,0,0,0,26.0
mayfair platinum,0.35,baruipur,3299.0,1061.0,Super Built up area 1070(99.41 sq.m.),3.0,2,1,2,North-East,Relatively New,South,1070.0,,,0,0,0,0,1,0,41.0
deep plaza,0.7,sodepur,2978.0,2351.0,Super Built up area 2350(218.32 sq.m.),3.0,3,3,4,South-East,Moderately Old,North,2350.0,,,0,0,0,1,1,2,6.0
on request,0.24,dum dum,3250.0,738.0,Super Built up area 746(69.31 sq.m.),2.0,1,1,4,North-East,Relatively New,North,746.0,,,0,0,0,0,0,0,18.0
on request,0.25,dum dum,3250.0,769.0,Super Built up area 766(71.16 sq.m.),2.0,2,1,1,East,Relatively New,North,766.0,,,0,0,0,0,0,0,0.0
on request,0.22,dum dum,2800.0,786.0,Super Built up area 796(73.95 sq.m.),2.0,2,1,1,East,Relatively New,North,796.0,,,0,0,0,0,0,0,58.0
ps panache,1.05,salt lake,8750.0,1200.0,Super Built up area 1200(111.48 sq.m.),2.0,2,1,12,,Relatively New,North,1200.0,,,0,0,0,0,0,0,72.0
standalone,1.5,rash behari,11538.0,1300.0,Super Built up area 1300(120.77 sq.m.),3.0,2,1,2,South,Relatively New,South,1300.0,,,0,0,0,0,0,2,82.0
purti hastings,3.56,alipore,13054.0,2727.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 1978 sq.ft. (183.76 sq.m.),4.0,4,1,3,North-West,Relatively New,South,2727.0,1978.0,,0,1,0,0,0,0,55.0
purti hastings,2.9,alipore,13145.0,2206.0,Super Built up area 2206(204.94 sq.m.)Built Up area: 1585 sq.ft. (147.25 sq.m.),4.0,4,1,2,North-East,Relatively New,South,2206.0,1585.0,,0,1,0,0,0,0,128.0
unitech uniworld city,1.0,new town,5652.0,1769.0,Super Built up area 1769(164.35 sq.m.),3.0,2,2,21,North-East,Moderately Old,East,1769.0,,,0,0,0,0,0,1,54.0
uniworld city,0.95,new town,5373.0,1768.0,Super Built up area 1768(164.25 sq.m.),3.0,2,2,14,South-West,Moderately Old,East,1768.0,,,0,0,0,0,1,0,150.0
unitech gardens,1.43,new town,6544.0,2185.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.),3.0,4,3,8,North-East,Moderately Old,East,2185.0,1550.0,,0,1,0,0,0,0,54.0
uniworld city,1.42,new town,6363.0,2232.0,Super Built up area 2201(204.48 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.),3.0,4,3,9,South,Moderately Old,East,2201.0,1600.0,,0,1,0,0,0,0,134.0
sukhobristi shapoorji,0.56,new town,6222.0,900.0,Super Built up area 900(83.61 sq.m.)Built Up area: 630 sq.ft. (58.53 sq.m.),3.0,2,1,6,North-East,New Property,East,900.0,630.0,,0,0,0,0,0,0,17.0
new apartment,0.13,baguiati,3000.0,433.0,Super Built up area 431(40.04 sq.m.),1.0,1,1,3,South,New Property,North,431.0,,,0,0,0,0,0,0,39.0
new apartment,0.48,baguiati,4000.0,1200.0,Super Built up area 1207(112.13 sq.m.),3.0,2,2,1,South,New Property,North,1207.0,,,0,0,0,0,0,0,38.0
new apartment,0.35,baguiati,3800.0,921.0,Super Built up area 930(86.4 sq.m.),2.0,2,1,2,,New Property,North,930.0,,,0,0,0,0,0,0,32.0
on request,0.21,baguiati,2800.0,750.0,Super Built up area 742(68.93 sq.m.),2.0,2,1,2,South-East,Relatively New,North,742.0,,,0,0,0,0,0,0,31.0
new apartment,0.18,baguiati baguiati,2800.0,643.0,Super Built up area 655(60.85 sq.m.),2.0,2,1,1,North,Relatively New,North,655.0,,,0,0,0,0,0,0,17.0
new apartment,0.21,baguiati,3000.0,700.0,Super Built up area 700(65.03 sq.m.),2.0,2,1,2,,Relatively New,North,700.0,,,0,0,0,0,0,0,24.0
new apartment,0.23,baguiati,3300.0,697.0,Super Built up area 711(66.05 sq.m.),2.0,2,1,1,South-East,Relatively New,North,711.0,,,0,0,0,0,0,0,32.0
new apartment,0.34,baguiati,3300.0,1030.0,Super Built up area 1022(94.95 sq.m.),3.0,2,1,2,South-East,Relatively New,North,1022.0,,,0,0,0,0,0,0,46.0
new apartment,0.32,baguiati,4000.0,800.0,Super Built up area 810(75.25 sq.m.),2.0,2,1,4,,New Property,North,810.0,,,0,0,0,0,0,0,46.0
on request,0.32,baguiati,3800.0,842.0,Super Built up area 835(77.57 sq.m.),2.0,2,1,3,,New Property,North,835.0,,,0,0,0,0,0,0,24.0
new building,0.25,baguiati,754.0,3316.0,Super Built up area 3300(306.58 sq.m.),2.0,2,1,1,North-West,Relatively New,North,3300.0,,,0,0,0,0,0,0,24.0
new apartment,0.21,baguiati,3300.0,636.0,Super Built up area 648(60.2 sq.m.),2.0,1,1,1,North,Relatively New,North,648.0,,,0,0,0,0,0,0,63.0
magnolia prestige,0.46,bishnupur,3610.0,1274.0,Super Built up area 1274(118.36 sq.m.),3.0,2,2,4,West,Relatively New,North,1274.0,,,0,0,0,0,0,0,43.0
"magnolia skyview, rajarhat",0.56,rajarhat,4560.0,1228.0,Super Built up area 1228(114.08 sq.m.),3.0,2,2,4,South,Relatively New,East,1228.0,,,0,0,0,0,0,0,46.0
kalyani apartment,0.27,behala,3177.0,850.0,Super Built up area 856(79.53 sq.m.),2.0,2,0,2,South-West,New Property,South,856.0,,,0,0,1,0,0,0,47.0
a. r. s apartment,0.16,silpara,3600.0,444.0,Super Built up area 439(40.78 sq.m.),1.0,1,1,2,South,New Property,South,439.0,,,0,0,1,0,0,0,165.0
diamond city north,0.8,shyamnagar,6804.0,1176.0,Super Built up area 1169(108.6 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3.0,2,2,2,West,Old Property,North,1169.0,1000.0,900.0,0,0,0,0,1,1,54.0
lotus apartment,0.35,behala,4600.0,761.0,Super Built up area 758(70.42 sq.m.),2.0,2,1,2,South-West,New Property,South,758.0,,,0,0,1,0,0,0,61.0
lotus apartment,0.32,behala,4554.0,703.0,Super Built up area 709(65.87 sq.m.),2.0,2,1,2,South-West,New Property,South,709.0,,,0,0,1,0,0,0,39.0
shyama apartment,0.33,behala,4687.0,704.0,Super Built up area 720(66.89 sq.m.),2.0,2,1,1,South-West,New Property,South,720.0,,,0,0,1,0,0,0,19.0
on request,0.23,sodepur,3200.0,719.0,Super Built up area 718(66.7 sq.m.),2.0,2,1,3,North,Relatively New,North,718.0,,,0,0,0,0,1,0,19.0
on request,0.23,sodepur,3200.0,719.0,Super Built up area 718(66.7 sq.m.),2.0,2,1,1,North,Relatively New,North,718.0,,,0,0,0,0,1,0,19.0
on request,0.36,sodepur,3200.0,1125.0,Super Built up area 1110(103.12 sq.m.),3.0,2,1,4,West,Relatively New,North,1110.0,,,0,0,0,0,1,0,19.0
on request,0.36,sodepur,3200.0,1125.0,Super Built up area 1120(104.05 sq.m.),3.0,2,1,4,East,Relatively New,North,1120.0,,,0,0,0,0,1,0,61.0
purbaraj apartment,0.4,behala,3478.0,1150.0,Super Built up area 1157(107.49 sq.m.),3.0,2,1,2,South-West,New Property,South,1157.0,,,0,0,1,0,0,0,159.0
sureka sunrise point,0.49,new town,6055.0,809.0,Super Built up area 810(75.25 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 560 sq.ft. (52.03 sq.m.),2.0,2,1,5,North-West,Old Property,East,810.0,700.0,560.0,0,0,0,0,1,0,145.0
shrachi greenwood park extension,0.86,new town,6013.0,1430.0,Super Built up area 1430(132.85 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 960 sq.ft. (89.19 sq.m.),3.0,2,2,10,East,Old Property,East,1430.0,1100.0,960.0,0,0,0,0,1,0,19.0
on request,0.21,sodepur,3200.0,656.0,Super Built up area 660(61.32 sq.m.),2.0,2,1,1,East,Relatively New,North,660.0,,,0,0,0,0,1,0,19.0
on request,0.21,sodepur,3200.0,656.0,Super Built up area 660(61.32 sq.m.),2.0,2,1,3,West,Relatively New,North,660.0,,,0,0,0,0,1,0,19.0
on request,0.21,sodepur,3200.0,656.0,Super Built up area 660(61.32 sq.m.),2.0,2,1,4,South,Relatively New,North,660.0,,,0,0,0,0,0,0,19.0
on request,0.27,sodepur,3200.0,844.0,Super Built up area 841(78.13 sq.m.),2.0,2,1,4,West,Relatively New,North,841.0,,,0,0,0,0,1,0,19.0
on request,0.28,sodepur,3200.0,875.0,Super Built up area 872(81.01 sq.m.),2.0,2,1,1,North,Relatively New,North,872.0,,,0,0,0,0,1,0,19.0
on request,0.28,sodepur,3200.0,875.0,Super Built up area 872(81.01 sq.m.),2.0,2,1,0,East,Relatively New,North,872.0,,,0,0,0,0,1,0,19.0
on requezt,0.28,sodepur,3200.0,875.0,Super Built up area 872(81.01 sq.m.),2.0,2,1,4,North,Relatively New,North,872.0,,,0,0,0,0,1,0,159.0
sureka sunrise point,0.49,new town,5991.0,818.0,Super Built up area 810(75.25 sq.m.)Built Up area: 700 sq.ft. (65.03 sq.m.)Carpet area: 560 sq.ft. (52.03 sq.m.),2.0,2,1,5,North,Old Property,East,810.0,700.0,560.0,0,0,0,0,1,0,104.0
siddha happyville,0.88,rajarhat,6956.0,1265.0,Super Built up area 1265(117.52 sq.m.),3.0,3,1,13,East,Relatively New,East,1265.0,,,0,0,0,0,0,0,104.0
siddha happyville,0.68,rajarhat,6296.0,1080.0,Super Built up area 1080(100.34 sq.m.),2.0,2,1,11,South-East,Relatively New,East,1080.0,,,1,0,0,0,0,0,33.0
nexus apartment,0.43,sodepur,3000.0,1433.0,Super Built up area 1420(131.92 sq.m.),3.0,2,2,4,North-East,New Property,North,1420.0,,,0,0,0,0,1,0,61.0
jagannath apartment,0.3,behala,3595.0,834.0,Super Built up area 841(78.13 sq.m.),2.0,2,1,0,East,Relatively New,South,841.0,,,0,0,1,0,0,0,61.0
surjodoy apartment,0.35,behala,3317.0,1055.0,Super Built up area 1060(98.48 sq.m.),3.0,2,1,3,East,Relatively New,South,1060.0,,,0,0,1,0,0,0,54.0
kalyani apartment,0.27,behala,3196.0,845.0,Super Built up area 851(79.06 sq.m.),2.0,2,0,1,South,Relatively New,South,851.0,,,0,0,0,0,0,0,61.0
kalyani apartment,0.27,behala,3185.0,848.0,Super Built up area 854(79.34 sq.m.),2.0,2,0,2,South,Relatively New,South,854.0,,,0,0,1,0,0,0,47.0
residency apartment,0.23,barisha,3125.0,736.0,Super Built up area 752(69.86 sq.m.),2.0,2,1,0,North-East,Relatively New,South,752.0,,,0,0,0,0,0,0,47.0
shyam apartment,0.33,behala,4394.0,751.0,Super Built up area 751(69.77 sq.m.),2.0,2,1,1,South-West,Relatively New,South,751.0,,,0,0,1,0,0,0,47.0
shyama apartment,0.33,behala,4376.0,754.0,Super Built up area 754(70.05 sq.m.),2.0,2,1,1,South-West,Relatively New,South,754.0,,,0,0,1,0,0,0,61.0
jagannath apartment,0.3,behala,3600.0,833.0,Super Built up area 840(78.04 sq.m.),2.0,2,1,0,South-West,New Property,South,840.0,,,0,0,1,0,0,0,83.0
elita garden vista phase 2,1.25,new town,7886.0,1585.0,Super Built up area 1585(147.25 sq.m.),3.0,3,2,11,South-West,Relatively New,East,1585.0,,,0,0,0,0,1,1,83.0
elita garden vista phase 2,1.18,new town,7347.0,1606.0,Super Built up area 1606(149.2 sq.m.),3.0,3,2,6,South,Relatively New,East,1606.0,,,0,0,0,0,0,0,83.0
elita garden vista phase 2,1.26,new town,7200.0,1750.0,Super Built up area 1750(162.58 sq.m.),3.0,3,2,23,South-East,Relatively New,East,1750.0,,,0,0,0,0,1,0,47.0
a r s apartment,0.25,silpara,3610.0,693.0,Super Built up area 706(65.59 sq.m.),2.0,2,1,2,South-West,New Property,South,706.0,,,0,0,0,0,0,0,54.0
somnath apartment,0.27,silpara,3600.0,750.0,Super Built up area 745(69.21 sq.m.),2.0,1,1,1,South-West,Relatively New,South,745.0,,,0,0,1,0,0,0,104.0
siddha happyville,0.62,rajarhat,6358.0,975.0,Super Built up area 975(90.58 sq.m.),2.0,2,1,8,North,Relatively New,East,975.0,,,0,0,0,0,0,0,77.0
icon apartment,0.32,nayabad,3555.0,900.0,Super Built up area 900(83.61 sq.m.)Built Up area: 765 sq.ft. (71.07 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),2.0,2,1,4,South,Relatively New,South,900.0,765.0,675.0,0,0,1,0,0,0,91.0
signature,0.88,kalikapur,6500.0,1354.0,Super Built up area 1356(125.98 sq.m.)Built Up area: 1152 sq.ft. (107.02 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),3.0,2,1,4,North-East,Relatively New,South,1356.0,1152.0,1020.0,0,0,1,0,0,0,97.0
650 kalikapur,0.68,pr,8666.0,785.0,Super Built up area 1040(96.62 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 780 sq.ft. (72.46 sq.m.),3.0,2,1,2,North-West,Relatively New,South,1040.0,900.0,780.0,0,0,1,0,0,0,83.0
novelty,0.63,madurdaha,4950.0,1273.0,Super Built up area 1276(118.54 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,2,1,3,North-East,Relatively New,South,1276.0,1100.0,1000.0,0,0,1,1,0,0,47.0
residency apartment,0.23,barisha,3129.0,735.0,Super Built up area 751(69.77 sq.m.),2.0,2,1,0,South-East,Relatively New,South,751.0,,,0,0,1,0,0,0,61.0
residency apartment,0.35,sarsuna,3482.0,1005.0,Super Built up area 1005(93.37 sq.m.),2.0,2,1,3,South-West,Relatively New,South,1005.0,,,0,0,1,0,0,0,83.0
elita garden vista,1.15,new town,5882.0,1955.0,Super Built up area 1955(181.63 sq.m.),3.0,4,2,21,East,Moderately Old,East,1955.0,,,0,1,0,0,1,0,83.0
elita garden vista phase 2,1.2,new town,7556.0,1588.0,Super Built up area 1588(147.53 sq.m.)Built Up area: 1215 sq.ft. (112.88 sq.m.),3.0,3,2,23,South-East,Relatively New,East,1588.0,1215.0,,0,0,0,0,1,0,83.0
dlf new town heights,0.75,new town,5966.0,1257.0,Super Built up area 1257(116.78 sq.m.),2.0,2,2,11,North-West,Relatively New,East,1257.0,,,0,0,0,0,1,0,24.0
on request,0.49,kaikhali,4400.0,1114.0,Super Built up area 1114(103.49 sq.m.),3.0,2,2,4,South-West,New Property,North,1114.0,,,0,0,0,0,0,0,24.0
on request,0.37,baguiati,3400.0,1088.0,Super Built up area 1101(102.29 sq.m.),3.0,2,1,4,West,Relatively New,North,1101.0,,,0,0,0,0,0,0,31.0
on,0.29,baguiati,3400.0,853.0,Super Built up area 850(78.97 sq.m.),2.0,2,1,2,East,Relatively New,North,850.0,,,0,0,0,0,0,0,143.0
devaloke heights,1.26,jadavpur,7513.0,1677.0,Super Built up area 1677(155.8 sq.m.)Built Up area: 1480 sq.ft. (137.5 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),3.0,2,2,5,South-East,Moderately Old,South,1677.0,1480.0,1310.0,0,0,0,0,1,0,19.0
on request,0.37,sodepur,3250.0,1138.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,5,North-East,Relatively New,North,1150.0,,,0,0,0,0,1,0,19.0
on request,0.37,sodepur,3250.0,1138.0,Super Built up area 1150(106.84 sq.m.),3.0,2,1,5,South-West,Relatively New,North,1150.0,,,0,0,0,0,1,0,19.0
on request,0.24,sodepur,3250.0,738.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,3,West,Relatively New,North,730.0,,,0,0,0,0,1,0,19.0
on request,0.24,sodepur,3250.0,738.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,1,West,Relatively New,North,730.0,,,0,0,0,0,1,0,19.0
on request,0.24,sodepur,3250.0,738.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,5,South-East,Relatively New,North,730.0,,,0,0,0,0,1,0,19.0
on request,0.24,sodepur,3250.0,738.0,Super Built up area 730(67.82 sq.m.),2.0,2,1,4,South,Relatively New,North,730.0,,,0,0,0,0,1,0,39.0
on 3,0.28,baguiati,3496.0,801.0,Super Built up area 806(74.88 sq.m.),2.0,2,1,3,East,Relatively New,North,806.0,,,0,0,0,0,0,0,31.0
